"Study","Term","Estimate","Std_Error","t_value","p_value"
"Study 2","Attractive_conditionAttractive",-0.190573915491035,0.270416406047215,-0.704742431410617,0.480970540318504
"Study 2","GenderWomen",-0.0185076489943048,0.242059739866578,-0.076459013814136,0.939053920721841
"Study 2","Attractive_conditionAttractive:GenderWomen",0.352755393933067,0.343479596786521,1.02700538032922,0.304417930609492
"Study 2","1|2",-2.4288045110114,0.24217153974772,-10.0292731075732,1.13347958641406e-23
"Study 2","2|3",-0.718955969639916,0.197550384501325,-3.63935494964878,0.000273321841560867
"Study 2","3|4",0.260048823665278,0.194686361145127,1.33573210848307,0.181636850593227
"Study 2","4|5",1.43504138332114,0.207685756324314,6.90967646852117,4.85760261709782e-12
