"Study","Term","Df","Sum_Sq","Mean_Sq","F_value","p_value"
"Study 1","Attractive_condition:Gender",1,10.230835106836,10.230835106836,6.64671666615957,0.0103656925462021
"Study 2","Attractive_condition:Gender",1,1.89121970241266,1.89121970241266,1.22499866451075,0.268975822171878
