"Study","Term","Df","Sum_Sq","Mean_Sq","F_value","p_value"
"Study 1","Attractive_condition:Gender",1,10.230835106836,10.230835106836,6.647,0.0104
"Study 2","Attractive_condition:Gender",1,1.89121970241266,1.89121970241266,1.225,0.269
