"Study","Term","Estimate","Std_Error","t_value","p_value"
"Study 1","Attractive_conditionAttractive:GenderWomen",1.1609900650987,0.411940169630467,2.81834632961425,0.00482717114150989
"Study 2","Attractive_conditionAttractive:GenderWomen",0.352755393933067,0.343479596786521,1.02700538032922,0.304417930609492
