"Study","Attractive_condition","Gender","Prob_Highest_Jealousy"
"Study 1","Not Attractive","Men",0.126019015742105
"Study 1","Attractive","Men",0.215240643254907
"Study 1","Not Attractive","Women",0.063541877209606
"Study 1","Attractive","Women",0.29185118951466
"Study 2","Not Attractive","Men",0.192314393442
"Study 2","Attractive","Men",0.164431907041757
"Study 2","Not Attractive","Women",0.189455967333442
"Study 2","Attractive","Women",0.215621428089517
