"Study","OLS_F_value","OLS_p_value","OrdLogit_Estimate","OrdLogit_p_value"
"Study 1",7.26061040246142,0.00740355623201571,1.1609900650987,0.00482717114150989
"Study 2",1.26563216170145,0.261184721631378,0.352755393933067,0.304417930609492
