"Study","Gender","Attractive_condition","N","Mean_jealousy","SD_jealousy","SE_jealousy","CI_low","CI_high"
"Study 1","Men","Not Attractive",58,2.81034482758621,1.26292471128579,0.165830138809331,2.48531775551992,3.1353718996525
"Study 1","Men","Attractive",56,3.28571428571429,1.23161808889084,0.164581889999386,2.96313378131549,3.60829479011308
"Study 1","Women","Not Attractive",109,2.30275229357798,1.16670307209837,0.111749886950408,2.08372251515518,2.52178207200078
"Study 1","Women","Attractive",116,3.55172413793103,1.32103271582571,0.122654808454102,3.31132071336099,3.79212756250107
"Study 2","Men","Not Attractive",88,3.21590909090909,1.25440706913219,0.133720242870263,2.95381741488338,3.47800076693481
"Study 2","Men","Attractive",90,3.07777777777778,1.32586861736443,0.139758823633662,2.8038504834558,3.35170507209976
"Study 2","Women","Not Attractive",141,3.20567375886525,1.25651292129365,0.105817477051236,2.99827150384483,3.41307601388567
"Study 2","Women","Attractive",137,3.33576642335766,1.15858288351847,0.0989844158633569,3.14175696826548,3.52977587844984
