"Study","Term","Df","Sum_Sq","Mean_Sq","F_value","p_value"
"Study 1","Attractive_condition:Gender",1,11.314440966533,11.314440966533,7.26061040246142,0.00740355623201571
"Study 2","Attractive_condition:Gender",1,1.95149135783193,1.95149135783193,1.26563216170145,0.261184721631378
